"                 /;.,   3 ",UFV,CNPJ,Unidade,Frente,Natureza,Portfólio,Fornecedor,Contrato original,Aditivo 1,Aditivo 2,Aditivo 3,Aditivo 4,Aditivo 5,Valor total,FD.Medido,Medição,FD+Medição,Saldo a Medir,Avanço Contratual%,"Pagamento? 
Sim / Não",OBS:
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Serviços Auxiliares - Terraplanagem,Mori,ORCI,1205985.6,,0,0.0,0.0,0.0,1205985.6,780000.0,425985.6,1205985.6,0.0,1.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Serviços Auxiliares - Supressão Vegetal,Mori,Rima,50000,23665.45,0,0.0,0.0,0.0,73665.45,2366.54,71298.91,73665.45,0.0,1.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,RDR-Rede de Distribuição Rural,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Escopo COMERC,Mori,0,495077.31,46000,,0.0,0.0,0.0,541077.31,1459.0,494617.09,496076.09,45001.22000000003,0.9168303324343798,S,Escopo Comerc
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Escopo COMERC - Segurança,Mori,0,135780,0,0,0.0,0.0,0.0,135780.0,0.0,135780.0,135780.0,0.0,1.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Conexão MT - Obras Transferencia,Mori,Engeluz,3665456.7199999997,0,0,0.0,0.0,0.0,3665456.7199999997,1743736.1099999999,1921720.61,3665456.7199999997,0.0,1.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Bases de Contaniers,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Construção - Serviços de Construção - Ase Engenharia,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Full EPC - Contrato Sobressalentes,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Construção - Serviços de Construção - NOVA MORADA,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
